audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1978_earth_wind_and_fire__september__album,"Earth, Wind & Fire",September,1978,hi,lo,hi,mid,hi,126.04801829268293,214.73814058956916,-18.318128579507036,0.3712140198021745,0.591923004783439,0.5684856079208698,Classic disco-funk; relentlessly upbeat and danceable archetypal hi-energy/hi-dance/hi-valence party cut.,mid,hi,all_disagree,truth_feat_agree_ml_diff
1982_toto__africa__album,Toto,Africa,1982,mid,lo,mid,lo,mid,92.28515625,291.2711111111111,-23.311160191446934,0.37353508013892023,0.4765386216729593,0.5694140320555681,Classic soft-rock/pop; steady groove not hyper or sleepy—very “true mid” on both energy and dance.,hi,mid,all_disagree,truth_feat_agree_ml_diff
1987_u2__with_or_without_you__single,U2,With or Without You,1987,mid,hi,lo,mid,mid,109.95678191489361,294.24326530612245,-17.904330386654777,0.3604144418724209,0.5808082622795091,0.5641657767489683,Slow-building rock ballad; hypnotic groove; yearning tone.,lo,hi,all_disagree,all_disagree
1990_sinead_oconnor__nothing_compares_2_u__single,Sinéad O'Connor,Nothing Compares 2 U,1990,lo,hi,lo,hi,lo,120.18531976744185,277.8964172335601,-17.192471554882925,0.3705139916091261,0.5576714422284067,0.5682055966436504,"Iconic heartbreak ballad; extremely sparse and emotionally heavy. Archetypal low-energy, low-dance, low-valence reference.",mid,hi,all_disagree,ml_feat_agree_truth_diff
1993_radiohead__creep__album,Radiohead,Creep,1993,mid,lo,lo,lo,lo,184.5703125,234.8001814058957,-18.847962969935406,0.3840621497432854,0.3973822160798639,0.5736248598973142,Alt-rock ballad; quiet loud dynamic; emotionally dark and self-loathing.,hi,mid,all_disagree,truth_ml_agree_feat_diff
1994_mariah_carey__hero__album,Mariah Carey,Hero,1994,mid,lo,lo,lo,mid,120.18531976744185,256.3482993197279,-18.84003395235733,0.3876919541041993,0.4466468821767431,0.5750767816416797,Big vocal power ballad; slow tempo; inspirational but solemn tone.,hi,mid,all_disagree,truth_ml_agree_feat_diff
1995_oasis__wonderwall__album,Oasis,Wonderwall,1995,mid,hi,mid,mid,mid,117.45383522727273,258.5774149659864,-17.68725279874856,0.34657169554191264,0.43389819531044316,0.5586286782167651,Anthemic Britpop; strummy mid-energy.,lo,mid,all_disagree,all_agree
1999_tlc__no_scrubs__album,TLC,No Scrubs,1999,mid,lo,mid,mid,mid,184.5703125,214.73814058956916,-17.80913502743024,0.3985904599405346,0.5328528069433693,0.5794361839762139,R&B-pop crossover; groove-led.,hi,hi,all_disagree,truth_ml_agree_feat_diff
2002_avril_lavigne__complicated__album,Avril Lavigne,Complicated,2002,mid,lo,mid,lo,mid,156.60511363636363,244.45968253968255,-18.088179686384958,0.3741240387889353,0.2905884525050079,0.5696496155155741,Early-2000s pop-rock; strummy mid-tempo more head-bob than dancefloor emotionally neutral-to-bittersweet.,hi,lo,all_disagree,ml_feat_agree_truth_diff
2003_evanescence__bring_me_to_life__album,Evanescence,Bring Me to Life,2003,hi,mid,lo,lo,lo,95.703125,236.28625850340137,-18.31266081048828,0.35556738890578404,0.39629149797689,0.5622269555623136,"Rock/nu-metal crossover; big dynamic hits and high energy with a clear groove but dark, dramatic low-valence mood.",lo,mid,all_disagree,truth_ml_agree_feat_diff
2014_taylor_swift__shake_it_off__album,Taylor Swift,Shake It Off,2014,hi,lo,hi,lo,hi,161.4990234375,216.96725623582768,-17.975698063334143,0.3670354452841303,0.21972415080564958,0.5668141781136521,Maximalist pop; very high energy and valence.,mid,lo,all_disagree,ml_feat_agree_truth_diff
2014_taylor_swift__style__album,Taylor Swift,Style,2014,mid,hi,mid,hi,mid,95.703125,229.59891156462584,-17.869900345822522,0.3567734592281365,0.4870669841694838,0.5627093836912546,"Cool mid-tempo pop; driving but not a club banger, strong mid-band reference.",lo,mid,all_disagree,truth_feat_agree_ml_diff
2015_justin_bieber__love_yourself__album,Justin Bieber,Love Yourself,2015,lo,hi,mid,hi,mid,95.703125,232.57106575963718,-17.12202795872671,0.36508065834257863,0.42315259037503716,0.5660322633370314,Minimal acoustic pop; low energy and danceability with lightly snarky tone.,mid,mid,all_disagree,truth_feat_agree_ml_diff
2016_drake__one_dance__album,Drake,One Dance,2016,mid,lo,hi,hi,mid,139.6748310810811,173.87102040816328,-17.277473198375514,0.4018872087629089,0.2867579061805347,0.5807548835051636,Afro-dancehall-inflected pop; mid energy very danceable moody but not dark.,hi,lo,all_disagree,truth_ml_agree_feat_diff
2019_billie_eilish__bad_guy__album,Billie Eilish,bad guy,2019,mid,hi,mid,hi,mid,135.99917763157896,191.7039455782313,-17.17189876668876,0.343037401491191,0.3385543855796369,0.5572149605964763,Minimal off-kilter pop; quirky cool rather than bright.,lo,lo,all_disagree,all_disagree
2019_lewis_capaldi__someone_you_loved__album,Lewis Capaldi,Someone You Loved,2019,mid,hi,lo,hi,lo,109.95678191489361,181.3014058956916,-17.603621998521866,0.3464789045337782,0.4797144076538891,0.5585915618135113,Piano ballad; emotionally raw vocal; minimal groove; non-dance.,lo,mid,all_disagree,all_disagree
2023_tyla__water__single,Tyla,Water,2023,hi,lo,hi,hi,mid,156.60511363636363,199.87736961451247,-17.552090018866952,0.37352702291965373,0.2316966909055631,0.5694108091678615,Afro-pop club track; very danceable; sensual mid-valence tone.,mid,lo,all_disagree,truth_ml_agree_feat_diff
