audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1987_whitney_houston__i_wanna_dance_with_somebody_who_loves_me__album,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,hi,hi,hi,mid,hi,117.45383522727273,289.0419954648526,-17.97154736289177,0.3826831897401328,0.5023060230134722,0.5730732758960531,High-energy high-valence dance-pop.,hi,mid,all_agree,ml_feat_agree_truth_diff
1990_sinead_oconnor__nothing_compares_2_u__single,Sinéad O'Connor,Nothing Compares 2 U,1990,lo,hi,lo,hi,lo,120.18531976744185,277.8964172335601,-17.192471554882925,0.3705139916091261,0.5576714422284067,0.5682055966436504,"Iconic heartbreak ballad; extremely sparse and emotionally heavy. Archetypal low-energy, low-dance, low-valence reference.",mid,hi,all_disagree,ml_feat_agree_truth_diff
1995_mariah_carey__fantasy__album,Mariah Carey,Fantasy,1995,mid,hi,mid,hi,hi,103.359375,242.97360544217688,-17.67270562750035,0.38444844702295133,0.5500236831503618,0.5737793788091805,Mid-tempo R&B-pop; sweet upbeat feel.,hi,hi,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
1999_backstreet_boys__i_want_it_that_way__album,Backstreet Boys,I Want It That Way,1999,mid,hi,mid,hi,mid,99.38401442307692,212.50902494331066,-18.013650576164512,0.3749485044201135,0.5655716983653203,0.5699794017680454,Boy-band ballad-ish pop; mid energy big chorus.,hi,hi,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2002_avril_lavigne__complicated__album,Avril Lavigne,Complicated,2002,mid,lo,mid,lo,mid,156.60511363636363,244.45968253968255,-18.088179686384958,0.3741240387889353,0.2905884525050079,0.5696496155155741,Early-2000s pop-rock; strummy mid-tempo more head-bob than dancefloor emotionally neutral-to-bittersweet.,hi,lo,all_disagree,ml_feat_agree_truth_diff
2008_coldplay__viva_la_vida__album,Coldplay,Viva La Vida,2008,mid,lo,mid,lo,mid,139.6748310810811,241.4875283446712,-18.222467010186993,0.3522197023609507,0.2987203904528954,0.5608878809443802,Anthemic orchestral pop; rolling rhythm but emotionally bittersweet mid-valence.,lo,lo,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2010_adele__rolling_in_the_deep__album,Adele,Rolling in the Deep,2010,mid,hi,mid,hi,mid,105.46875,226.62675736961452,-17.408527726323133,0.3637066208813387,0.632775429691999,0.5654826483525355,Bluesy pop; strong vocal stomping groove.,mid,hi,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
2011_gotye__somebody_that_i_used_to_know__album,Gotye feat. Kimbra,Somebody That I Used to Know,2011,mid,hi,mid,hi,lo,129.19921875,245.20272108843537,-17.496221469970916,0.3726296344748237,0.5252002169550211,0.5690518537899295,Sparse indie-pop ballad; mid energy but emotionally downbeat and melancholic.,mid,hi,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
2014_taylor_swift__shake_it_off__album,Taylor Swift,Shake It Off,2014,hi,lo,hi,lo,hi,161.4990234375,216.96725623582768,-17.975698063334143,0.3670354452841303,0.21972415080564958,0.5668141781136521,Maximalist pop; very high energy and valence.,mid,lo,all_disagree,ml_feat_agree_truth_diff
2017_imagine_dragons__believer__album,Imagine Dragons,Believer,2017,hi,lo,mid,lo,mid,126.04801829268293,203.59256235827664,-18.52252561998446,0.35896842085055514,0.3638405061178299,0.563587368340222,"Arena/pop rock anthem; very high energy with a strong but not club-focused groove, emotionally intense but ultimately uplifting.",lo,lo,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2021_farruko__pepas__album,Farruko,Pepas,2021,hi,hi,hi,mid,hi,129.19921875,286.0698412698413,-17.660289590285405,0.38138525441485127,0.4338848767288469,0.5725541017659406,"EDM/reggaeton party anthem; archetypal festival hi-energy, hi-dance, euphoric feel.",hi,mid,all_agree,ml_feat_agree_truth_diff
2022_djo__end_of_beginning__album,Djo,End of Beginning,2022,mid,lo,mid,lo,mid,161.4990234375,157.5241723356009,-18.24152850523827,0.3602379886954487,0.16800045760095705,0.5640951954781794,Indie pop rock; driving mid energy; nostalgic bittersweet feel.,lo,lo,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2022_glass_animals__heat_waves__album,Glass Animals,Heat Waves,2022,mid,lo,mid,lo,mid,161.4990234375,237.0292970521542,-18.345973576177794,0.3608326683978451,0.17687077826640532,0.564333067359138,Alt-pop slow-burn; hazy mid valence.,mid,lo,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
2023_miley_cyrus__flowers__album,Miley Cyrus,Flowers,2023,mid,hi,mid,hi,mid,117.45383522727273,198.3912925170068,-17.379641963275763,0.362116471105406,0.5208472432244902,0.5648465884421624,Mid-tempo self-empowerment pop; steady groove.,mid,hi,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
2024_billie_eilish__birds_of_a_feather__album,Billie Eilish,BIRDS OF A FEATHER,2024,mid,hi,mid,hi,mid,105.46875,208.79383219954647,-17.471191829582445,0.377191836875466,0.5525585301034792,0.5708767347501864,Dreamy indie-pop; floating mid energy; mid danceability and mood.,hi,hi,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
