audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1976_the_eagles__hotel_california__album,Eagles,Hotel California,1976,mid,hi,lo,mid,mid,147.65625,391.5813151927438,-17.726708062511182,0.3692794499001425,0.3417721085501688,0.567711779960057,Classic rock epic; long-running structure; bittersweet mood.,mid,lo,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
1978_earth_wind_and_fire__september__album,"Earth, Wind & Fire",September,1978,hi,lo,hi,mid,hi,126.04801829268293,214.73814058956916,-18.318128579507036,0.3712140198021745,0.591923004783439,0.5684856079208698,Classic disco-funk; relentlessly upbeat and danceable archetypal hi-energy/hi-dance/hi-valence party cut.,mid,hi,all_disagree,truth_feat_agree_ml_diff
1979_bee_gees__stayin_alive__album,Bee Gees,Stayin' Alive,1979,hi,hi,hi,mid,mid,103.359375,282.3546485260771,-18.079004115344947,0.3864549965932998,0.6220117051000638,0.57458199863732,Signature 70s disco groove; relentless pulse very strong dance feel.,hi,hi,all_agree,truth_feat_agree_ml_diff
1982_toto__africa__album,Toto,Africa,1982,mid,lo,mid,lo,mid,92.28515625,291.2711111111111,-23.311160191446934,0.37353508013892023,0.4765386216729593,0.5694140320555681,Classic soft-rock/pop; steady groove not hyper or sleepy—very “true mid” on both energy and dance.,hi,mid,all_disagree,truth_feat_agree_ml_diff
1984_prince__when_doves_cry__album,Prince,When Doves Cry,1984,hi,lo,mid,lo,mid,126.04801829268293,351.4572335600907,-20.216903269268144,0.3856945838458942,0.4457593938427012,0.5742778335383577,Sparse experimental but huge mainstream hit.,hi,mid,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
1991_nirvana__smells_like_teen_spirit__single,Nirvana,Smells Like Teen Spirit,1991,hi,mid,mid,lo,mid,117.45383522727273,298.70149659863944,-18.3163279890769,0.36789601880722245,0.4157827668954618,0.5671584075228889,Grunge rock anthem; very high energy with mid danceability and brooding anthemic tone.,mid,mid,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
1992_boyz_ii_men__end_of_the_road__album,Boyz II Men,End of the Road,1992,mid,hi,lo,mid,lo,147.65625,349.2281179138322,-17.5563463301897,0.38530343057006133,0.2893565852512199,0.5741213722280245,Early-90s R&B slow jam; big vocal swells but overall slow sway-not-dance heartbreak-heavy.,hi,lo,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
1998_britney_spears__baby_one_more_time__album,Britney Spears,...Baby One More Time,1998,mid,mid,mid,hi,mid,92.28515625,210.27990929705214,-17.85331442723911,0.3802961819122644,0.42989818497240007,0.5721184727649058,Turn-of-era teen pop; strong hook mid-tempo.,hi,mid,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2004_kelly_clarkson__since_u_been_gone__album,Kelly Clarkson,Since U Been Gone,2004,hi,lo,mid,hi,mid,132.51201923076923,188.73179138321996,-17.927289795371134,0.35841733844985624,0.3741571130839847,0.5633669353799424,Pop-rock belter; high energy breakup anthem.,lo,mid,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
2008_lady_gaga__pokerface__album,Lady Gaga,Poker Face,2008,hi,hi,hi,mid,mid,120.18531976744185,236.28625850340137,-18.060759004168254,0.354835968833679,0.5281335759905681,0.5619343875334716,Electro-pop banger; club-oriented energy.,lo,hi,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2008_rihanna__disturbia__album,Rihanna,Disturbia,2008,hi,hi,hi,mid,lo,126.04801829268293,237.77233560090704,-18.139415375460718,0.36593976800709727,0.5194105415602142,0.5663759072028389,"Dark electro-pop club track; very high energy and danceability but eerie, tense low-valence feel.",mid,hi,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2009_black_eyed_peas__i_gotta_feeling__album,Black Eyed Peas,I Gotta Feeling,2009,hi,hi,hi,mid,hi,129.19921875,289.78503401360547,-17.59350624424872,0.37837269481364605,0.5382936528374916,0.5713490779254584,Huge party anthem; very high energy and danceability; feel-good chorus.,hi,hi,all_agree,truth_feat_agree_ml_diff
2011_adele__someone_like_you__album,Adele,Someone Like You,2011,lo,hi,lo,hi,lo,135.99917763157896,285.3268027210884,-17.3139927881886,0.3412495325560102,0.34248461096122995,0.556499813022404,Piano/vocal breakup ballad; archetypal low energy very low danceability emotionally devastating.,lo,lo,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
2012_bruno_mars__when_i_was_your_man__album,Bruno Mars,When I Was Your Man,2012,mid,mid,lo,hi,lo,72.78829225352112,212.50902494331066,-17.65884470154171,0.3650572947904862,0.27961774053168587,0.5660229179161944,Piano ballad; sparse arrangement; emotionally regretful; non-dance.,mid,lo,all_agree,truth_feat_agree_ml_diff
