audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1966_the_beatles__eleanor_rigby__album,The Beatles,Eleanor Rigby,1966,mid,lo,lo,lo,lo,139.6748310810811,124.08743764172335,-18.74560267457085,0.3543005615531694,0.35293124740176796,0.5617202246212678,String-driven chamber pop; low danceability; somber narrative.,lo,lo,ml_feat_agree_truth_diff,all_agree
1969_the_beatles__here_comes_the_sun__album,The Beatles,Here Comes the Sun,1969,mid,lo,mid,mid,hi,129.19921875,185.75963718820861,-18.118086832173816,0.3503996683336749,0.5169458460351876,0.56015986733347,Bright acoustic pop; gentle steady groove; very positive tone.,lo,mid,ml_feat_agree_truth_diff,all_agree
1991_nirvana__smells_like_teen_spirit__single,Nirvana,Smells Like Teen Spirit,1991,hi,mid,mid,lo,mid,117.45383522727273,298.70149659863944,-18.3163279890769,0.36789601880722245,0.4157827668954618,0.5671584075228889,Grunge rock anthem; very high energy with mid danceability and brooding anthemic tone.,mid,mid,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
1992_boyz_ii_men__end_of_the_road__album,Boyz II Men,End of the Road,1992,mid,hi,lo,mid,lo,147.65625,349.2281179138322,-17.5563463301897,0.38530343057006133,0.2893565852512199,0.5741213722280245,Early-90s R&B slow jam; big vocal swells but overall slow sway-not-dance heartbreak-heavy.,hi,lo,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
1995_mariah_carey__fantasy__album,Mariah Carey,Fantasy,1995,mid,hi,mid,hi,hi,103.359375,242.97360544217688,-17.67270562750035,0.38444844702295133,0.5500236831503618,0.5737793788091805,Mid-tempo R&B-pop; sweet upbeat feel.,hi,hi,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
1997_celine_dion__my_heart_will_go_on__album,Celine Dion,My Heart Will Go On,1997,mid,hi,lo,hi,mid,99.38401442307692,278.63945578231295,-17.36657554508018,0.38184501281319233,0.43682929230751755,0.572738005125277,Titanic power ballad; very slow big emotional build.,hi,mid,ml_feat_agree_truth_diff,all_disagree
1998_brandy_and_monica__the_boy_is_mine__album,Brandy & Monica,The Boy Is Mine,1998,mid,hi,mid,mid,mid,93.96306818181819,294.24326530612245,-17.698778758841307,0.39008824591569063,0.498103938432345,0.5760352983662762,Late-90s R&B-pop duet; mid tempo groove-based emotionally tense but not dark.,hi,mid,ml_feat_agree_truth_diff,all_agree
1999_backstreet_boys__i_want_it_that_way__album,Backstreet Boys,I Want It That Way,1999,mid,hi,mid,hi,mid,99.38401442307692,212.50902494331066,-18.013650576164512,0.3749485044201135,0.5655716983653203,0.5699794017680454,Boy-band ballad-ish pop; mid energy big chorus.,hi,hi,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2004_kelly_clarkson__since_u_been_gone__album,Kelly Clarkson,Since U Been Gone,2004,hi,lo,mid,hi,mid,132.51201923076923,188.73179138321996,-17.927289795371134,0.35841733844985624,0.3741571130839847,0.5633669353799424,Pop-rock belter; high energy breakup anthem.,lo,mid,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
2007_rihanna_jay_z__umbrella__album,Rihanna feat. JAY-Z,Umbrella,2007,mid,hi,mid,hi,mid,86.1328125,274.92426303854876,-17.46449056651443,0.39115491684572223,0.30460966295693015,0.5764619667382889,Dark mid-tempo R&B-pop; big chorus hook.,hi,lo,ml_feat_agree_truth_diff,all_disagree
